TradingDate,int_Stkcd,index,Stkcd,open,high,low,close,simple_Stkcd,date,AdjustingFactor,FirstIndustryName,sector,return,max_return,current_drawback,max_place,min_place,max_return_next,upstop_num,downstop_num
20110530,600889,203734,600889.SH,9.4,9.45,8.9,40.24989175912878,600889,20110530,4.487167420192729,化工,工业,-0.037553648068669565,0.6912144702842375,-0.31474407944996174,33.0,0.0,0.14200052683817166,4.0,0.0
20110531,2075,204408,002075.SZ,7.2,7.47,7.17,14.922313740172216,002075,20110531,2.0029951329090223,钢铁,大宗材料,0.0347222222222221,0.8719999999999999,-0.3632478632478633,23.0,0.0,0.23221476510067118,1.0,0.0
20110531,2408,204740,002408.SZ,27.39,28.48,27.39,51.33549689440993,002408,20110531,1.8139751552795027,化工,工业,0.0358711566617862,0.667418772563177,-0.30533833701745705,30.0,0.0,0.3151943462897526,0.0,0.0
20110531,600217,205321,600217.SH,6.31,6.43,6.26,28.85298848491177,600217,20110531,4.522411988230685,建筑材料,工业,0.0031446540880502027,0.5153970826580228,-0.3176470588235294,27.0,7.0,0.0987460815047021,0.0,0.0
20110531,600766,205787,600766.SH,8.2,8.53,8.18,26.70768489318229,600766,20110531,3.2255658083553493,房地产,房产,-0.021276595744680993,0.4894409937888198,-0.30942452043369484,29.0,0.0,0.22222222222222232,2.0,0.0
20110531,600868,205880,600868.SH,3.53,3.55,3.4,124.75035983527309,600868,20110531,35.34004527911419,公用事业,公用,0.005698005698005604,0.5770392749244713,-0.3237547892720307,30.0,5.0,0.07648725212464602,0.0,0.0
20110601,2075,206574,002075.SZ,7.44,7.49,7.32,14.982403594159488,002075,20110601,2.0029951329090223,钢铁,大宗材料,0.004026845637584042,0.8719999999999999,-0.3606837606837606,22.0,0.0,0.2272727272727273,1.0,0.0
20110601,600217,207487,600217.SH,6.41,6.59,6.37,29.350453803617146,600217,20110601,4.522411988230685,建筑材料,工业,0.017241379310344973,0.5153970826580228,-0.3058823529411765,26.0,6.0,0.08012326656394442,0.0,0.0
20110601,600766,207953,600766.SH,8.3,8.46,8.26,26.933474499767165,600766,20110601,3.2255658083553493,房地产,房产,0.008454106280193274,0.4839108910891088,-0.30358632193494584,28.0,3.0,0.21197604790419167,2.0,0.0
20110601,600868,208046,600868.SH,3.5,3.64,3.47,127.57756345760224,600868,20110601,35.34004527911419,公用事业,公用,0.022662889518413776,0.5770392749244713,-0.3084291187739464,29.0,4.0,0.05263157894736836,0.0,0.0
20110602,2075,208740,002075.SZ,7.39,8.17,7.2,15.743541744664917,002075,20110602,2.0029951329090223,钢铁,大宗材料,0.050802139037433136,0.8719999999999999,-0.32820512820512815,21.0,0.0,0.16793893129770976,1.0,0.0
20110602,600217,209656,600217.SH,6.39,6.52,6.26,28.67209200538254,600217,20110602,4.522411988230685,建筑材料,工业,-0.023112480739599484,0.5153970826580228,-0.32192513368983955,25.0,5.0,0.10567823343848581,0.0,0.0
20110602,600766,210122,600766.SH,8.38,8.44,8.19,26.643173577015183,600766,20110602,3.2255658083553493,房地产,房产,-0.010778443113772518,0.4839108910891088,-0.31109257714762306,27.0,2.0,0.28692493946731257,2.0,0.0
20110602,600868,210215,600868.SH,3.54,3.6,3.45,125.45716074085539,600868,20110602,35.34004527911419,公用事业,公用,-0.0166204986149584,0.5770392749244713,-0.3199233716475096,28.0,3.0,0.07042253521126751,0.0,0.0
20110603,2075,210910,002075.SZ,7.66,7.95,7.65,15.583302134032195,002075,20110603,2.0029951329090223,钢铁,大宗材料,-0.010178117048346036,0.8719999999999999,-0.33504273504273496,20.0,0.0,0.17994858611825193,1.0,0.0
20110603,600217,211826,600217.SH,6.21,6.45,6.21,28.807764365029463,600217,20110603,4.522411988230685,建筑材料,工业,0.004731861198738141,0.5153970826580228,-0.31871657754010696,24.0,4.0,0.11302982731554145,0.0,0.0
20110603,600868,212385,600868.SH,3.53,3.64,3.51,127.2241630048111,600868,20110603,35.34004527911419,公用事业,公用,0.014084507042253502,0.5770392749244713,-0.31034482758620685,27.0,2.0,0.05555555555555536,0.0,0.0
20110607,2075,213081,002075.SZ,7.7,7.99,7.63,15.623362036690374,002075,20110607,2.0029951329090223,钢铁,大宗材料,0.0025706940874035134,0.8719999999999999,-0.33333333333333337,19.0,0.0,0.17692307692307696,1.0,0.0
20110607,600217,213997,600217.SH,6.35,6.44,6.31,29.033884964440997,600217,20110607,4.522411988230685,建筑材料,工业,0.007849293563579218,0.5153970826580228,-0.31336898395721924,23.0,3.0,0.10436137071651075,0.0,0.0
20110607,600868,214556,600868.SH,3.59,3.64,3.55,127.93096391039339,600868,20110607,35.34004527911419,公用事业,公用,0.005555555555555536,0.5770392749244713,-0.30651340996168575,26.0,1.0,0.04972375690607733,0.0,0.0
20110608,2075,215252,002075.SZ,7.72,7.96,7.72,15.843691501310367,002075,20110608,2.0029951329090223,钢铁,大宗材料,0.014102564102564275,0.8719999999999999,-0.3239316239316239,18.0,0.0,0.1605562579013906,1.0,0.0
20110608,600217,216171,600217.SH,6.44,6.47,6.28,29.079109084323303,600217,20110608,4.522411988230685,建筑材料,工业,0.0015576323987538387,0.5153970826580228,-0.3122994652406418,22.0,2.0,0.10264385692068423,0.0,0.0
20110609,2075,217426,002075.SZ,7.88,8.06,7.65,15.38300262074129,002075,20110609,2.0029951329090223,钢铁,大宗材料,-0.029077117572692934,0.8719999999999999,-0.3435897435897436,17.0,0.0,0.1953125,1.0,0.0
20110609,600217,218345,600217.SH,6.4,6.58,6.32,28.626867885500236,600217,20110609,4.522411988230685,建筑材料,工业,-0.015552099533436947,0.5153970826580228,-0.3229946524064171,21.0,1.0,0.12006319115323838,0.0,0.0
20110610,600217,220523,600217.SH,6.35,6.51,6.21,29.395677923499452,600217,20110610,4.522411988230685,建筑材料,工业,0.026856240126382325,0.5153970826580228,-0.3048128342245989,20.0,0.0,0.09076923076923071,0.0,0.0
20110613,600217,222701,600217.SH,6.42,6.56,6.4,29.440902043381758,600217,20110613,4.522411988230685,建筑材料,工业,0.0015384615384614886,0.48885350318471343,-0.30374331550802136,19.0,1.0,0.08909370199692779,0.0,0.0
20110613,600757,223159,600757.SH,8.45,8.45,8.25,51.98217426909667,600757,20110613,6.225410092107386,传媒,TMT,-0.011834319526627168,0.47842170160295927,-0.30358632193494584,8.0,0.0,0.15688622754491033,0.0,0.0
20110616,2195,228436,002195.SZ,16.45,16.55,15.83,31.46205842676927,002195,20110616,1.9874957944895306,计算机,TMT,-0.052095808383233355,0.6027586206896551,-0.31646599379993623,37.0,7.0,0.24447252053063773,1.0,0.0
20110616,600868,229801,600868.SH,3.67,3.67,3.53,124.75035983527309,600868,20110616,35.34004527911419,公用事业,公用,-0.05107526881720437,0.5489614243323442,-0.3237547892720307,19.0,8.0,0.04532577903682733,0.0,0.0
20110617,2075,230498,002075.SZ,8.38,8.44,8.04,16.14414077124672,002075,20110617,2.0029951329090223,钢铁,大宗材料,-0.04389086595492264,0.8719999999999999,-0.311111111111111,11.0,0.0,0.1389578163771712,2.0,0.0
20110617,2195,230618,002195.SZ,15.88,16.2,15.7,31.303058763210107,002195,20110617,1.9874957944895306,计算机,TMT,-0.005053695514845247,0.6027586206896551,-0.3199203665413137,36.0,6.0,0.25079365079365057,1.0,0.0
20110617,600868,231983,600868.SH,3.5,3.54,3.43,121.56975576015282,600868,20110617,35.34004527911419,公用事业,公用,-0.025495750708215303,0.5489614243323442,-0.3409961685823756,18.0,7.0,0.07267441860465107,0.0,0.0
20110620,2075,232680,002075.SZ,8.05,8.06,7.78,15.903781355297639,002075,20110620,2.0029951329090223,钢铁,大宗材料,-0.01488833746898266,0.8719999999999999,-0.3213675213675212,10.0,0.0,0.1561712846347607,2.0,0.0
